indicator;level;strategy;module;numerator;denominator;weight;zero_denominator;notes
emp.s.un;sector_to_country;sum;;;;;;
emp.s.un;country_to_world;sum;;;;;;
empe.s.un;sector_to_country;sum;;;;;;
empe.s.un;country_to_world;sum;;;;;;
hours_worked.emp.s.hr;sector_to_country;sum;;;;;;
hours_worked.emp.s.hr;country_to_world;sum;;;;;;
hours_worked.empe.s.hr;sector_to_country;sum;;;;;;
hours_worked.empe.s.hr;country_to_world;sum;;;;;;
compensation.empe_hs.r.pc;sector_to_country;weighted_mean;;;;compensation.empe.s.us;not_applicable;Weighted by total employee compensation in current USD.
compensation.empe_hs.r.pc;country_to_world;weighted_mean;;;;compensation.empe.s.us;not_applicable;Weighted by total employee compensation in current USD.
compensation.empe_ms.r.pc;sector_to_country;weighted_mean;;;;compensation.empe.s.us;not_applicable;Weighted by total employee compensation in current USD.
compensation.empe_ms.r.pc;country_to_world;weighted_mean;;;;compensation.empe.s.us;not_applicable;Weighted by total employee compensation in current USD.
compensation.empe_ls.r.pc;sector_to_country;weighted_mean;;;;compensation.empe.s.us;not_applicable;Weighted by total employee compensation in current USD.
compensation.empe_ls.r.pc;country_to_world;weighted_mean;;;;compensation.empe.s.us;not_applicable;Weighted by total employee compensation in current USD.
hours_worked.empe_hs.r.pc;sector_to_country;weighted_mean;;;;hours_worked.empe.s.hr;not_applicable;Weighted by total employee hours.
hours_worked.empe_hs.r.pc;country_to_world;weighted_mean;;;;hours_worked.empe.s.hr;not_applicable;Weighted by total employee hours.
hours_worked.empe_ms.r.pc;sector_to_country;weighted_mean;;;;hours_worked.empe.s.hr;not_applicable;Weighted by total employee hours.
hours_worked.empe_ms.r.pc;country_to_world;weighted_mean;;;;hours_worked.empe.s.hr;not_applicable;Weighted by total employee hours.
hours_worked.empe_ls.r.pc;sector_to_country;weighted_mean;;;;hours_worked.empe.s.hr;not_applicable;Weighted by total employee hours.
hours_worked.empe_ls.r.pc;country_to_world;weighted_mean;;;;hours_worked.empe.s.hr;not_applicable;Weighted by total employee hours.
exchange.r.us;sector_to_country;invariant;;;;;;LCU per USD must be identical across a country's sectors.
exchange.r.us;country_to_world;not_applicable;;;;;;Local currencies cannot be averaged into a world exchange rate.
compensation.empe.s.us;sector_to_country;sum;;;;;;
compensation.empe.s.us;country_to_world;sum;;;;;;
compensation.emp.s.us;sector_to_country;sum;;;;;;
compensation.emp.s.us;country_to_world;sum;;;;;;
capital_stock.s.us;sector_to_country;sum;;;;;;
capital_stock.s.us;country_to_world;sum;;;;;;
gross_output.s.us;sector_to_country;sum;;;;;;
gross_output.s.us;country_to_world;sum;;;;;;
gdp.s.us;sector_to_country;sum;;;;;;
gdp.s.us;country_to_world;sum;;;;;;
surplus_value.empe_hs.r.pc;sector_to_country;formula;wiodr13/surplus_value.empe_hs.r.pc-country.R;;;;;
surplus_value.empe_hs.r.pc;country_to_world;formula;wiodr13/surplus_value.empe_hs.r.pc-country.R;;;;;
surplus_value.empe_ms.r.pc;sector_to_country;formula;wiodr13/surplus_value.empe_ms.r.pc-country.R;;;;;
surplus_value.empe_ms.r.pc;country_to_world;formula;wiodr13/surplus_value.empe_ms.r.pc-country.R;;;;;
surplus_value.empe_ls.r.pc;sector_to_country;formula;wiodr13/surplus_value.empe_ls.r.pc-country.R;;;;;
surplus_value.empe_ls.r.pc;country_to_world;formula;wiodr13/surplus_value.empe_ls.r.pc-country.R;;;;;
compensation.emp.s.cu;sector_to_country;sum;;;;;;
compensation.emp.s.cu;country_to_world;sum;;;;;;
compensation.empe.s.cu;sector_to_country;sum;;;;;;
compensation.empe.s.cu;country_to_world;sum;;;;;;
profit.s.us;sector_to_country;sum;;;;;;
profit.s.us;country_to_world;sum;;;;;;
basket_price.r.pc;sector_to_country;invariant;;;;;;The national consumption basket index is broadcast to every sector.
basket_price.r.pc;country_to_world;not_applicable;;;;;;National basket indices have no compatible world aggregate.
exchange.r.id;sector_to_country;invariant;;;;;;The national exchange index is broadcast to every sector.
exchange.r.id;country_to_world;not_applicable;;;;;;National exchange indices have no compatible world aggregate.
basket_value.r.pc;sector_to_country;invariant;;;;;;The national consumption basket value index is broadcast to every sector.
basket_value.r.pc;country_to_world;not_applicable;;;;;;National basket value indices have no compatible world aggregate.
go_price.r.id;sector_to_country;weighted_mean;;;;gross_output.s.us;not_applicable;Weighted by current-USD gross output.
go_price.r.id;country_to_world;not_applicable;;;;;;National price indices are not combined across incompatible currencies.
abstract_labour.empe.s.mv;sector_to_country;sum;;;;;;
abstract_labour.empe.s.mv;country_to_world;sum;;;;;;
abstract_labour.emp.s.mv;sector_to_country;sum;;;;;;
abstract_labour.emp.s.mv;country_to_world;sum;;;;;;
complex_labour_multiplier.empe.r.un;sector_to_country;weighted_mean;;;;hours_worked.empe.s.hr;not_applicable;Weighted by employee hours transformed by this multiplier.
complex_labour_multiplier.empe.r.un;country_to_world;weighted_mean;;;;hours_worked.empe.s.hr;not_applicable;Weighted by employee hours transformed by this multiplier.
complex_labour_multiplier.emp.r.un;sector_to_country;weighted_mean;;;;hours_worked.emp.s.hr;not_applicable;Weighted by hours of persons engaged transformed by this multiplier.
complex_labour_multiplier.emp.r.un;country_to_world;weighted_mean;;;;hours_worked.emp.s.hr;not_applicable;Weighted by hours of persons engaged transformed by this multiplier.
gdp.s.mv;sector_to_country;sum;;;;;;
gdp.s.mv;country_to_world;sum;;;;;;
gross_output.s.mv;sector_to_country;sum;;;;;;
gross_output.s.mv;country_to_world;sum;;;;;;
labour_force_value.s.mv;sector_to_country;sum;;;;;;
labour_force_value.s.mv;country_to_world;sum;;;;;;
value.m.mv;sector_to_country;ratio_of_sums;;gross_output.s.mv;gross_output.s.us;;not_applicable;Abstract labour embodied per current USD of gross output.
value.m.mv;country_to_world;ratio_of_sums;;gross_output.s.mv;gross_output.s.us;;not_applicable;Abstract labour embodied per current USD of gross output.
gdp.s.du;sector_to_country;sum;;;;;;
gdp.s.du;country_to_world;sum;;;;;;
gross_output.s.du;sector_to_country;sum;;;;;;
gross_output.s.du;country_to_world;sum;;;;;;
